Category,Sub-Category,Item Name,Points,Found,Item ID,Shortened Item ID,Icon,Achievements ID,Achievements Display Name
Airport,Facilities,Toilets,1,FALSE,Airport_Facilities_Toilets,Airport_Facilities_Toilets,info,water,Water you doing!
Airport,Facilities,Baby Changing,1,FALSE,Airport_Facilities_Baby Changing,Airport_Facilities_Baby,info,kids,The kids are alright!
Airport,Facilities,Prayer Room,3,FALSE,Airport_Facilities_Prayer Room,Airport_Facilities_Prayer,info,quiet,Having some quiet time!
Airport,Facilities,Smoking Area,2,FALSE,Airport_Facilities_Smoking Area,Airport_Facilities_Smoking,info,rock,Rock n Roll!
Airport,Facilities,Showers,4,FALSE,Airport_Facilities_Showers,Airport_Facilities_Showers,info,water,Water you doing!
Airport,Facilities,Water Fountains,2,FALSE,Airport_Facilities_Water Fountains,Airport_Facilities_Water,info,eating|water,Eatings cheatin'!|Water you doing!
Airport,Facilities,ATM,1,FALSE,Airport_Facilities_ATM,Airport_Facilities_ATM,info,shop|wavelength,Shop til you drop!|Same wavelength!
Airport,Facilities,Currency Exchange,1,FALSE,Airport_Facilities_Currency Exchange,Airport_Facilities_Currency,info,shop|working,Shop til you drop!|Working nine-to-five!
Airport,Facilities,Information Desk,1,FALSE,Airport_Facilities_Information Desk,Airport_Facilities_Information,info,working,Working nine-to-five!
Airport,Facilities,Lost Luggage,1,FALSE,Airport_Facilities_Lost Luggage,Airport_Facilities_Lost,info,baggage|working,Emotional baggage!|Working nine-to-five!
Airport,Signs,Departures,1,FALSE,Airport_Signs_Departures,Airport_Signs_Departures,flight,signs,The signs were there!
Airport,Signs,Arrivals,1,FALSE,Airport_Signs_Arrivals,Airport_Signs_Arrivals,flight,signs,The signs were there!
Airport,Signs,Toilets,1,FALSE,Airport_Signs_Toilets,Airport_Signs_Toilets,flight,signs,The signs were there!
Airport,Signs,Elevators,1,FALSE,Airport_Signs_Elevators,Airport_Signs_Elevators,flight,signs|wavelength,The signs were there!|Same wavelength!
Airport,Signs,Escalator,2,FALSE,Airport_Signs_Escalator,Airport_Signs_Escalator,flight,signs|wavelength,The signs were there!|Same wavelength!
Airport,Signs,Accessability,2,FALSE,Airport_Signs_Accessability,Airport_Signs_Accessability,flight,signs|limp,The signs were there!|Limping over the finish line!
Airport,Signs,Fire Extinguisher,1,FALSE,Airport_Signs_Fire Extinguisher,Airport_Signs_Fire,flight,signs|rock,The signs were there!|Rock n Roll!
Airport,Signs,Emergency Exit,1,FALSE,Airport_Signs_Emergency Exit,Airport_Signs_Emergency,flight,signs,The signs were there!
Airport,Signs,No Liquids,2,FALSE,Airport_Signs_No Liquids,Airport_Signs_Liquids,flight,water|signs,Water you doing!|The signs were there!
Airport,Signs,Wet Floor Sign,3,FALSE,Airport_Signs_Wet Floor Sign,Airport_Signs_Wet,flight,water|signs,Water you doing!|The signs were there!
Clothes,Accessories,Bumbag,2,FALSE,Clothes_Accessories_Bumbag,Clothes_Accessories_Bumbag,eyeglasses_2,baggage,Emotional baggage!
Clothes,Accessories,Facemask,2,FALSE,Clothes_Accessories_Facemask,Clothes_Accessories_Facemask,eyeglasses_3,head,Heads or tails!
Clothes,Accessories,Glasses Colourful,2,FALSE,Clothes_Accessories_Glasses Colourful,Clothes_Accessories_Glasses,eyeglasses_4,glasses,What a spectacle!
