Category,Sub-Category,Item Name,Points,Found,Item ID,Shortened Item ID,Icon
Animals,Birds - Location,Flock (10+),2,FALSE,Animals_Birds - Location_Flock (10+),Animals_Birds - Location_Flock,raven
Animals,Birds - Location,Flying,1,FALSE,Animals_Birds - Location_Flying,Animals_Birds - Location_Flying,raven
Animals,Birds - Location,Grounded,1,FALSE,Animals_Birds - Location_Grounded,Animals_Birds - Location_Grounded,raven
Animals,Birds - Location,Perched,1,FALSE,Animals_Birds - Location_Perched,Animals_Birds - Location_Perched,raven
Animals,Birds - Species,Bird of prey,2,FALSE,Animals_Birds - Species_Bird of prey,Animals_Birds - Species_Prey,raven
Animals,Birds - Species,Black Bird,1,FALSE,Animals_Birds - Species_Black Bird,Animals_Birds - Species_Black,raven
Animals,Birds - Species,Magpie,1,FALSE,Animals_Birds - Species_Magpie,Animals_Birds - Species_Magpie,raven
Animals,Birds - Species,Pigeon,1,FALSE,Animals_Birds - Species_Pigeon,Animals_Birds - Species_Pigeon,raven
Animals,Birds - Species,Seagull,2,FALSE,Animals_Birds - Species_Seagull,Animals_Birds - Species_Seagull,raven
Animals,Farmyard,Cow,2,FALSE,Animals_Farmyard_Cow,Animals_Farmyard_Cow,pets
Animals,Farmyard,Dog,1,FALSE,Animals_Farmyard_Dog,Animals_Farmyard_Dog,pets
Animals,Farmyard,Horse,2,FALSE,Animals_Farmyard_Horse,Animals_Farmyard_Horse,pets
Animals,Farmyard,Sheep,2,FALSE,Animals_Farmyard_Sheep,Animals_Farmyard_Sheep,pets
Buildings,Construction,Crane,1,FALSE,Buildings_Construction_Crane,Buildings_Construction_Crane,construction
Buildings,Construction,Scaffolding,1,FALSE,Buildings_Construction_Scaffolding,Buildings_Construction_Scaffolding,construction
Buildings,House,Door Black,1,FALSE,Buildings_House_Door Black,Buildings_House_Door Black,home
Buildings,House,Door Other,1,FALSE,Buildings_House_Door Other,Buildings_House_Door Other,home
Buildings,House,Door R/G/B,1,FALSE,Buildings_House_Door R/G/B,Buildings_House_Door R/G/B,home
Buildings,House,Door White,1,FALSE,Buildings_House_Door White,Buildings_House_Door White,home
Buildings,House,Painted,1,FALSE,Buildings_House_Painted,Buildings_House_Painted,home
Buildings,Interest,Car Saleroom,1,FALSE,Buildings_Interest_Car Saleroom,Buildings_Interest_Salesroom,location_city
Buildings,Interest,Carwash,1,FALSE,Buildings_Interest_Carwash,Buildings_Interest_Carwash,location_city
Buildings,Interest,Church,1,FALSE,Buildings_Interest_Church,Buildings_Interest_Church,location_city
Buildings,Interest,Hotel,1,FALSE,Buildings_Interest_Hotel,Buildings_Interest_Hotel,location_city
Buildings,Interest,Storage Facility,2,FALSE,Buildings_Interest_Storage Facility,Buildings_Interest_Storage,location_city
Buildings,Petrol Station,BP,1,FALSE,Buildings_Petrol Station_BP,Buildings_Petrol Station_BP,local_gas_station
Buildings,Petrol Station,Esso/Shell,3,FALSE,Buildings_Petrol Station_Esso/Shell,Buildings_Petrol Station_Esso/Shell,local_gas_station
Buildings,Petrol Station,Other,1,FALSE,Buildings_Petrol Station_Other,Buildings_Petrol Station_Other,local_gas_station
Buildings,Pubs,Animal,2,FALSE,Buildings_Pubs_Animal,Buildings_Pubs_Animal,sports_bar
Buildings,Pubs,Name/Royal,2,FALSE,Buildings_Pubs_Name/Royal,Buildings_Pubs_Name_Royal,sports_bar
Buildings,Pubs,Object,2,FALSE,Buildings_Pubs_Object,Buildings_Pubs_Object,sports_bar
Buildings,Shops,Barber/Hairdresser,2,FALSE,Buildings_Shops_Barber/Hairdresser,Buildings_Shops_Hairdresser,storefront
Buildings,Shops,Burger King,1,FALSE,Buildings_Shops_Burger King,Buildings_Shops_Burger King,storefront
Buildings,Shops,Coffee Shop,1,FALSE,Buildings_Shops_Coffee Shop,Buildings_Shops_Coffee Shop,storefront
Buildings,Shops,Fashion,2,FALSE,Buildings_Shops_Fashion,Buildings_Shops_Fashion,storefront
Buildings,Shops,Florist,2,FALSE,Buildings_Shops_Florist,Buildings_Shops_Florist,storefront
Buildings,Shops,KFC,1,FALSE,Buildings_Shops_KFC,Buildings_Shops_KFC,storefront
Buildings,Shops,McDonalds,1,FALSE,Buildings_Shops_McDonalds,Buildings_Shops_McDonalds,storefront
Buildings,Shops,Off Licence/Corner Shop,2,FALSE,Buildings_Shops_Off Licence/Corner Shop,Buildings_Shops_Off Licence,storefront
Buildings,Shops,Pet Shop/Grooming,2,FALSE,Buildings_Shops_Pet Shop/Grooming,Buildings_Shops_Pet Shop,storefront
Buildings,Shops,Pharmacy,2,FALSE,Buildings_Shops_Pharmacy,Buildings_Shops_Pharmacy,storefront
